"variable","n","faltantes","pct_faltantes"
"bajo_peso",6343,535,0.0843449471858742
"waz_oms",6343,535,0.0843449471858742
"talla_cm",6343,277,0.0436701876083872
"peso_kg",6343,189,0.0297966262021126
"libros_n",6343,189,0.0297966262021126
"tiene_libros",6343,189,0.0297966262021126
"quintil_riqueza",6343,186,0.0293236638814441
"edad_meses",6343,186,0.0293236638814441
"educ_madre",6343,186,0.0293236638814441
"sexo",6343,4,0.000630616427557938
"iip",6343,1,0.000157654106889484
"iip_normalizado",6343,1,0.000157654106889484
"chweight",6343,0,0
"region",6343,0,0
