"variable","descripcion","uso"
"HH1/HH2/LN","Claves de identificación de conglomerado, hogar y línea de niño/a","Trazabilidad interna"
"CAGE_AN / CAGE","Edad en meses al momento de la medición / entrevista","Control por edad y grupos etarios"
"HL4","Sexo del niño/a","Estratificación antropométrica"
"stratum","Región","Comparación territorial"
"windex5","Quintil del índice de riqueza","Desigualdad socioeconómica"
"melevel","Máximo nivel educativo de la madre","Comparación en involucramiento paterno"
"AN8 / AN11","Peso y talla medidos","Calidad de datos antropométricos"
"WAZ2 / WAZFLAG","Z-score OMS de peso para la edad y bandera de validez","Indicador principal de crecimiento"
"EC1 / EC2A-C","Libros y materiales de juego disponibles","Entorno de estimulación temprana"
"EC5AB, EC5BB, EC5CB, EC5DB, EC5EB, EC5FB","Actividades de estimulación realizadas por el padre","Construcción del IIP"
"chweight","Ponderador de niños/as de 0 a 4 años","Promedios y proporciones ponderadas"
