variable,valor,n_ponderado,prop_ponderada
sexo,Mujer,2950.2447614049424,0.47916919951355347
sexo,Varón,3206.7552385950453,0.5208308004864466
region,AMBA,1907.1029326649684,0.3097454819985337
region,Cuyo,450.31169351060726,0.07313816688494529
region,NEA,611.2887215160188,0.09928353443495533
region,NOA,831.1145849572102,0.13498693924918173
region,Pampeana,2059.998957806359,0.33457835923442636
region,Patagonia,297.1831095448243,0.04826751819795758
quintil_riqueza,Cuarto,776.1959138453554,0.12606722654626554
quintil_riqueza,Medio,1138.3378924050799,0.18488515387446516
quintil_riqueza,Más pobre,1936.486820035617,0.3145179178229041
quintil_riqueza,Más rico,759.2890190223183,0.1233212634436121
quintil_riqueza,Segundo,1546.6903546916176,0.2512084383127531
educ_madre,Hasta secundario incompleto,2813.1670454381524,0.45690548082477794
educ_madre,No sabe / no responde,11.501557018370145,0.001868045642093579
educ_madre,Secundario completo / terciario o universitario incompleto,2538.183515042067,0.41224354637681854
educ_madre,Terciario completo,794.1478825013985,0.1289829271563099
