"region","sexo","quintil_riqueza","edad_grupo","n","peso_muestral","waz_medio","prop_bajo_peso"
"AMBA","Varón","Más pobre","0-5",7,25.6055712144923,-1.12987011398754,0.296071534323662
"AMBA","Varón","Más pobre","6-11",15,23.8736392529384,0.516139255200103,0
"AMBA","Varón","Más pobre","12-23",16,41.674300240621,0.409572103919345,0.0347358234429086
"AMBA","Varón","Más pobre","24-35",17,34.2359503162433,-0.0496143445463802,0.244767729380862
"AMBA","Varón","Más pobre","36-47",26,62.0507845259061,0.375523232873538,0
"AMBA","Varón","Más pobre","48-59",18,36.1189526070733,-0.185731293844511,0
"AMBA","Varón","Segundo","0-5",9,13.0980711738128,0.708215222126316,0
"AMBA","Varón","Segundo","6-11",13,37.1406936448452,-0.151487231287144,0
"AMBA","Varón","Segundo","12-23",33,91.5198687897992,0.39105941047786,0
"AMBA","Varón","Segundo","24-35",30,62.725197740813,0.108687798793337,0.101447654759467
"AMBA","Varón","Segundo","36-47",27,63.0996323792727,0.423614648408224,0.0712733478474716
"AMBA","Varón","Segundo","48-59",24,52.4626194703548,0.37813498250443,0.0302178788713598
"AMBA","Varón","Medio","0-5",3,9.1871301266968,-1.11768807692212,0
"AMBA","Varón","Medio","6-11",10,29.9290940612228,1.46099392960949,0
"AMBA","Varón","Medio","12-23",19,46.0845157605102,0.488220785983005,0
"AMBA","Varón","Medio","24-35",14,15.3370876556609,-0.280886037497457,0
"AMBA","Varón","Medio","36-47",20,45.058850610734,0.378654224443936,0
"AMBA","Varón","Medio","48-59",17,33.7868964611789,-0.486989753363773,0.252046796691225
"AMBA","Varón","Cuarto","0-5",3,9.98488217917444,-0.26159033532598,0
"AMBA","Varón","Cuarto","6-11",7,7.3732419002323,-0.150273664736234,0
"AMBA","Varón","Cuarto","12-23",17,20.4913785640465,0.723815394839366,0
"AMBA","Varón","Cuarto","24-35",17,18.4744755635867,0.166930940604268,0
"AMBA","Varón","Cuarto","36-47",20,27.6716822163736,0.6148303008591,0
"AMBA","Varón","Cuarto","48-59",21,33.4361850435481,0.173017209266994,0
"AMBA","Varón","Más rico","0-5",9,28.9206147504118,-2.37739078625344,0.488737630782305
"AMBA","Varón","Más rico","6-11",4,2.3545067657461,-0.801253085795977,0
"AMBA","Varón","Más rico","12-23",20,15.3768316138507,0.703386721020303,0
"AMBA","Varón","Más rico","24-35",14,15.570416440889,-0.23100409082351,0.0583899645152465
"AMBA","Varón","Más rico","36-47",30,60.0580172530012,0.454322943415585,0
"AMBA","Varón","Más rico","48-59",25,29.9597073132194,0.0385498910358592,0
"AMBA","Mujer","Más pobre","0-5",7,13.3599884438291,-0.0491894959609641,0
"AMBA","Mujer","Más pobre","6-11",7,20.1338264982817,1.01744881625741,0
"AMBA","Mujer","Más pobre","12-23",14,39.4706809660559,0.148806056038586,0
"AMBA","Mujer","Más pobre","24-35",21,47.66241798775,0.665437453021193,0
"AMBA","Mujer","Más pobre","36-47",14,33.4885676084749,-0.370231227887069,0
"AMBA","Mujer","Más pobre","48-59",24,73.1353997507451,-0.0430208799077805,0
"AMBA","Mujer","Segundo","0-5",3,17.5674751631297,0.087633312564889,0
"AMBA","Mujer","Segundo","6-11",5,17.1615243305239,0.48317021712396,0
"AMBA","Mujer","Segundo","12-23",17,50.7284681962342,0.420979392440818,0
"AMBA","Mujer","Segundo","24-35",24,57.1650033435655,0.0914038263459886,0
"AMBA","Mujer","Segundo","36-47",17,47.0743151508094,0.565629393699977,0
"AMBA","Mujer","Segundo","48-59",31,99.9501468847025,0.0605059586329463,0.00554966685190007
"AMBA","Mujer","Medio","0-5",4,3.42794238595573,-0.703127759552612,0.161594653248173
"AMBA","Mujer","Medio","6-11",11,18.4426498982271,0.537099408507554,0
"AMBA","Mujer","Medio","12-23",13,13.7815874022553,0.137521645124261,0
"AMBA","Mujer","Medio","24-35",12,23.2818879073327,0.398725994553748,0
"AMBA","Mujer","Medio","36-47",16,35.482469111506,-0.485774801278121,0.201317652624035
"AMBA","Mujer","Medio","48-59",15,20.3767205083212,0.847908164536708,0
"AMBA","Mujer","Cuarto","0-5",8,14.7475611185216,0.140122065820586,0
"AMBA","Mujer","Cuarto","6-11",3,7.79940269641489,0.830371177409628,0
"AMBA","Mujer","Cuarto","12-23",9,13.1654438790802,0.329053427783885,0.134985131306021
"AMBA","Mujer","Cuarto","24-35",14,12.2120288623721,0.241086124825797,0.0667881886776259
"AMBA","Mujer","Cuarto","36-47",15,24.9356188710622,0.232519387841878,0
"AMBA","Mujer","Cuarto","48-59",25,34.2848352757734,0.0680306260931903,0
"AMBA","Mujer","Más rico","0-5",10,9.59713580231594,0.129171663083516,0
"AMBA","Mujer","Más rico","6-11",8,15.9147366971064,1.1305605097517,0
"AMBA","Mujer","Más rico","12-23",20,26.6751968321593,0.146251708241339,0
"AMBA","Mujer","Más rico","24-35",22,32.8107399860493,0.551557590640644,0
"AMBA","Mujer","Más rico","36-47",26,50.8543388449587,0.396232978556591,0
"AMBA","Mujer","Más rico","48-59",22,31.5600947258844,-0.0520700581269456,0.0173901748008455
"Cuyo","Varón","Más pobre","0-5",3,1.24920875620253,0.232948710815549,0
"Cuyo","Varón","Más pobre","6-11",13,6.54081907122516,-0.107689999797171,0.0967439951437481
"Cuyo","Varón","Más pobre","12-23",15,6.78177691020194,-0.0424930995547589,0
"Cuyo","Varón","Más pobre","24-35",12,7.49834128828768,-0.186408673857201,0
"Cuyo","Varón","Más pobre","36-47",18,8.45902915639528,0.301716724804623,0.0405667089544056
"Cuyo","Varón","Más pobre","48-59",16,10.9804251351142,1.06527990868818,0
"Cuyo","Varón","Segundo","0-5",8,3.78669476871369,0.311546493752637,0
"Cuyo","Varón","Segundo","6-11",12,5.71970386535052,0.145865721178033,0.0731625075645057
"Cuyo","Varón","Segundo","12-23",13,5.22448460200989,0.263583651881258,0
"Cuyo","Varón","Segundo","24-35",18,9.23343989424155,0.094295333108558,0
"Cuyo","Varón","Segundo","36-47",32,15.3683855164601,0.508386202165141,0
"Cuyo","Varón","Segundo","48-59",17,11.0286631302874,0.0838678867878777,0
"Cuyo","Varón","Medio","0-5",3,0.659862429850725,-0.896111668625393,0
"Cuyo","Varón","Medio","6-11",10,2.91207067100101,0.0156276469582205,0
"Cuyo","Varón","Medio","12-23",29,12.7170180336503,0.380672113956713,0
"Cuyo","Varón","Medio","24-35",24,8.0830183618024,0.0500952174132208,0
"Cuyo","Varón","Medio","36-47",31,16.067770257218,0.785289569328208,0
"Cuyo","Varón","Medio","48-59",33,9.62089023296467,0.0276954347850589,0
"Cuyo","Varón","Cuarto","0-5",7,2.0827162885219,-0.56564734264089,0
"Cuyo","Varón","Cuarto","6-11",7,2.87581610552273,0.0443706626306843,0
"Cuyo","Varón","Cuarto","12-23",20,9.80177929209725,0.743516746357664,0
"Cuyo","Varón","Cuarto","24-35",30,10.8166853038823,0.288378330723843,0
"Cuyo","Varón","Cuarto","36-47",21,13.5574839246925,0.0523321898781622,0
"Cuyo","Varón","Cuarto","48-59",28,13.8540797180465,0.217766622473204,0
"Cuyo","Varón","Más rico","0-5",6,1.7997815606661,-0.0965990822895656,0.306262233179399
"Cuyo","Varón","Más rico","6-11",6,0.868449566669078,0.461122701433954,0
"Cuyo","Varón","Más rico","12-23",19,8.55973399741832,-0.00398465479015221,0.0287424090325565
"Cuyo","Varón","Más rico","24-35",24,6.40165389596,0.307502401419424,0.0169915067602022
"Cuyo","Varón","Más rico","36-47",20,6.11097482160664,0.32281080296795,0
"Cuyo","Varón","Más rico","48-59",25,7.58165385436118,0.392876033833596,0
"Cuyo","Mujer","Más pobre","0-5",5,3.34067966151022,0.0167756969703058,0
"Cuyo","Mujer","Más pobre","6-11",10,4.97311484998623,-0.01209125817464,0
"Cuyo","Mujer","Más pobre","12-23",16,6.21631531005203,-0.0806621384932173,0
"Cuyo","Mujer","Más pobre","24-35",14,9.00823844963296,0.0656617022569196,0
"Cuyo","Mujer","Más pobre","36-47",20,8.99062082479822,-0.0090546508480679,0
"Cuyo","Mujer","Más pobre","48-59",17,10.9388541712833,-0.440340638016201,0.0511050459730793
"Cuyo","Mujer","Segundo","0-5",4,1.87174328539819,-0.66784064399863,0.146771777177459
"Cuyo","Mujer","Segundo","6-11",11,4.95582294372526,0.124072863189753,0
"Cuyo","Mujer","Segundo","12-23",19,10.5281990182697,-0.110143882503705,0
"Cuyo","Mujer","Segundo","24-35",24,11.8592212415841,0.185715437867122,0
"Cuyo","Mujer","Segundo","36-47",13,6.43044533794016,0.183936949881382,0
"Cuyo","Mujer","Segundo","48-59",16,7.39083958995829,0.261400105105572,0.0240917954338295
"Cuyo","Mujer","Medio","0-5",13,9.56231530488856,0.0176722949329066,0.035666458126347
"Cuyo","Mujer","Medio","6-11",12,6.26065290180428,0.233034563345841,0
"Cuyo","Mujer","Medio","12-23",27,14.3684296348983,0.280890939518442,0
"Cuyo","Mujer","Medio","24-35",30,14.3702546778176,0.268091078857754,0
"Cuyo","Mujer","Medio","36-47",20,7.80528429472295,0.0358215377112066,0
"Cuyo","Mujer","Medio","48-59",26,10.145057987422,-0.510490504135438,0.0366794333363938
"Cuyo","Mujer","Cuarto","0-5",5,1.36613592604132,0.104126437853521,0
"Cuyo","Mujer","Cuarto","6-11",9,3.21303866795144,0.297402089827478,0
"Cuyo","Mujer","Cuarto","12-23",22,5.32466900078255,0.238740517789012,0.107405959645358
"Cuyo","Mujer","Cuarto","24-35",26,8.73583099389377,-0.0709899986558341,0.0617837306807924
"Cuyo","Mujer","Cuarto","36-47",26,11.0614911455732,0.408875037702538,0
"Cuyo","Mujer","Cuarto","48-59",17,4.16840653524083,0.0140267241259967,0.110620351331375
"Cuyo","Mujer","Más rico","0-5",10,6.55435382886108,0.197971065426239,0
"Cuyo","Mujer","Más rico","6-11",10,3.64523962509814,-0.141671225996373,0
"Cuyo","Mujer","Más rico","12-23",20,7.70223484973389,0.65730551709898,0
"Cuyo","Mujer","Más rico","24-35",28,10.2723598987436,0.287436847628809,0.0175086274497482
"Cuyo","Mujer","Más rico","36-47",18,4.58979171251439,-0.332914601564504,0.0338108787647424
"Cuyo","Mujer","Más rico","48-59",23,8.41964143005884,0.409510318544359,0
"NEA","Varón","Más pobre","0-5",22,12.275886670742,-0.390511937509046,0.130666684816253
"NEA","Varón","Más pobre","6-11",30,17.7387232049747,0.124078240334055,0
"NEA","Varón","Más pobre","12-23",77,49.1828350995478,-0.171731551319538,0.0249835458052145
"NEA","Varón","Más pobre","24-35",80,50.3428844479901,-0.0436374005130162,0
"NEA","Varón","Más pobre","36-47",75,44.5936808914911,0.111054922565073,0
"NEA","Varón","Más pobre","48-59",69,38.3447048466369,-0.226995530630791,0.134064508970148
"NEA","Varón","Segundo","0-5",8,5.93533296610934,-1.02859017984532,0
"NEA","Varón","Segundo","6-11",18,9.68942396152645,-0.214752073587706,0
"NEA","Varón","Segundo","12-23",34,17.5069963942393,0.398456736009249,0
"NEA","Varón","Segundo","24-35",39,11.8896133465849,0.347095616056071,0
"NEA","Varón","Segundo","36-47",27,14.3099124925908,0.414391486776399,0
"NEA","Varón","Segundo","48-59",45,17.7664567202122,-0.08958900092966,0.0362597868942119
"NEA","Varón","Medio","0-5",5,1.01428885015411,0.808547716370452,0
"NEA","Varón","Medio","6-11",9,4.61179014174559,-0.551766832214543,0
"NEA","Varón","Medio","12-23",16,7.06253975232634,0.353626532524723,0
"NEA","Varón","Medio","24-35",22,8.00751213367811,-0.344727579187431,0.0843822814484742
"NEA","Varón","Medio","36-47",14,5.32323154343818,0.233359456291284,0
"NEA","Varón","Medio","48-59",25,9.72902637079071,0.0354086479096087,0
"NEA","Varón","Cuarto","12-23",2,0.450038931894979,1.81355493409932,0
"NEA","Varón","Cuarto","36-47",2,0.558082095413862,-0.0161418910244772,0
"NEA","Varón","Cuarto","48-59",2,0.256008205057028,2.32392327618221,0
"NEA","Varón","Más rico","12-23",1,0.250470116448621,-1.11,0
"NEA","Mujer","Más pobre","0-5",29,25.3744075808923,-0.10940900934108,0.151214058966949
"NEA","Mujer","Más pobre","6-11",26,13.7588471348142,0.0775328260156663,0
"NEA","Mujer","Más pobre","12-23",60,34.3129763427293,0.23129225357223,0.0212739175778975
"NEA","Mujer","Más pobre","24-35",69,35.3111077950495,-0.0785336672564891,0.0860426882950917
"NEA","Mujer","Más pobre","36-47",54,26.3823356418312,-0.123387810065312,0.0265519741353149
"NEA","Mujer","Más pobre","48-59",69,38.265109127201,-0.132491911473257,0.0775909853588137
"NEA","Mujer","Segundo","0-5",11,8.19801053404142,-0.104348627753398,0
"NEA","Mujer","Segundo","6-11",17,10.8830218649479,1.12545500607371,0
"NEA","Mujer","Segundo","12-23",29,13.0473984683014,0.0643364572720017,0.0489538941943048
"NEA","Mujer","Segundo","24-35",28,14.4416241423366,-0.490464245777894,0.0848940215400438
"NEA","Mujer","Segundo","36-47",30,14.6172236051388,0.040636530038649,0
"NEA","Mujer","Segundo","48-59",40,18.1486389343573,0.0506285298747514,0
"NEA","Mujer","Medio","0-5",4,1.14913478565507,-0.930524630945775,0.257881124415513
"NEA","Mujer","Medio","6-11",5,1.59403776216689,0.48153839286457,0
"NEA","Mujer","Medio","12-23",14,3.49819179934539,-0.13165190257357,0
"NEA","Mujer","Medio","24-35",21,5.88470717378114,0.441443709207574,0.0233964183349763
"NEA","Mujer","Medio","36-47",20,8.26472242234444,0.458793216354342,0.0229767532636915
"NEA","Mujer","Medio","48-59",16,8.11162045620707,0.174112360684307,0
"NEA","Mujer","Cuarto","6-11",2,0.474026249157152,0.605333663474085,0
"NEA","Mujer","Cuarto","12-23",2,0.741793193834483,0.277326386242697,0
"NEA","Mujer","Cuarto","24-35",1,0.197222901960653,-1.64,0
"NEA","Mujer","Cuarto","36-47",3,0.578972354991607,-0.0368488979301801,0
"NEA","Mujer","Cuarto","48-59",1,0.238952909884559,0.22,0
"NOA","Varón","Más pobre","0-5",7,9.00192556174483,-0.51566678422207,0.156823434457351
"NOA","Varón","Más pobre","6-11",16,19.6056282803014,-0.137404122156985,0.118703381294412
"NOA","Varón","Más pobre","12-23",33,29.7691124231135,0.443907512699358,0.0314702665796084
"NOA","Varón","Más pobre","24-35",28,26.059654932292,0.311979769001142,0.0441116124222363
"NOA","Varón","Más pobre","36-47",42,39.5514546246651,0.300333513004256,0.0248372662494652
"NOA","Varón","Más pobre","48-59",36,36.6791530389019,0.374890134049321,0
"NOA","Varón","Segundo","0-5",6,5.81601160017604,-0.456410652475346,0
"NOA","Varón","Segundo","6-11",9,7.81691903922647,0.465288143558347,0
"NOA","Varón","Segundo","12-23",20,15.5048411385485,0.422462091679157,0
"NOA","Varón","Segundo","24-35",15,15.28641276221,-0.0165667965177518,0
