"region","quintil_riqueza","n","valor","peso_muestral","indicador","indicador_label","tipo_indicador","unidad"
"AMBA","Más pobre",188,0.616078911331582,453.154637705402,"prop_tiene_libros","Tiene al menos un libro","proporcion","porcentaje"
"AMBA","Segundo",233,0.646639349663608,609.693016267863,"prop_tiene_libros","Tiene al menos un libro","proporcion","porcentaje"
"AMBA","Medio",156,0.681756838847393,300.026205495926,"prop_tiene_libros","Tiene al menos un libro","proporcion","porcentaje"
"AMBA","Cuarto",159,0.733091897109056,224.576736170186,"prop_tiene_libros","Tiene al menos un libro","proporcion","porcentaje"
"AMBA","Más rico",210,0.871581633798955,319.652337025592,"prop_tiene_libros","Tiene al menos un libro","proporcion","porcentaje"
"Cuyo","Más pobre",159,0.414870890195005,84.9774235846898,"prop_tiene_libros","Tiene al menos un libro","proporcion","porcentaje"
"Cuyo","Segundo",187,0.657713834982691,93.3976431939389,"prop_tiene_libros","Tiene al menos un libro","proporcion","porcentaje"
"Cuyo","Medio",258,0.587215625952055,112.572624788041,"prop_tiene_libros","Tiene al menos un libro","proporcion","porcentaje"
"Cuyo","Cuarto",218,0.775783609823446,86.8581329022464,"prop_tiene_libros","Tiene al menos un libro","proporcion","porcentaje"
"Cuyo","Más rico",209,0.761747150268173,72.5058690416913,"prop_tiene_libros","Tiene al menos un libro","proporcion","porcentaje"
"NEA","Más pobre",662,0.318870048681254,386.626843039464,"prop_tiene_libros","Tiene al menos un libro","proporcion","porcentaje"
"NEA","Segundo",327,0.580425593552249,156.665508326279,"prop_tiene_libros","Tiene al menos un libro","proporcion","porcentaje"
"NEA","Medio",171,0.725812372478066,64.250803191633,"prop_tiene_libros","Tiene al menos un libro","proporcion","porcentaje"
"NEA","Cuarto",15,0.901904309601078,3.49509684219432,"prop_tiene_libros","Tiene al menos un libro","proporcion","porcentaje"
"NEA","Más rico",1,1,0.250470116448621,"prop_tiene_libros","Tiene al menos un libro","proporcion","porcentaje"
"NOA","Más pobre",340,0.308501013098686,332.718667858755,"prop_tiene_libros","Tiene al menos un libro","proporcion","porcentaje"
