"region","quintil_riqueza","actividad","prop_actividad","n","peso_muestral"
"AMBA","Más pobre","Leyó libros",0.158025132410456,188,453.154637705402
"AMBA","Segundo","Leyó libros",0.144450823242123,233,609.693016267863
"AMBA","Medio","Leyó libros",0.160198714151406,156,300.026205495926
"AMBA","Cuarto","Leyó libros",0.268776947104564,159,224.576736170186
"AMBA","Más rico","Leyó libros",0.337194090905553,210,319.652337025592
"Cuyo","Más pobre","Leyó libros",0.0746459414182192,159,84.9774235846898
"Cuyo","Segundo","Leyó libros",0.161565218919518,187,93.3976431939389
"Cuyo","Medio","Leyó libros",0.169586006893617,258,112.572624788041
"Cuyo","Cuarto","Leyó libros",0.218334794807705,218,86.8581329022464
"Cuyo","Más rico","Leyó libros",0.240887155543124,209,72.5058690416913
"NEA","Más pobre","Leyó libros",0.112950712816753,662,386.626843039464
"NEA","Segundo","Leyó libros",0.136041680921009,327,156.665508326279
"NEA","Medio","Leyó libros",0.293281234228974,171,64.250803191633
"NEA","Cuarto","Leyó libros",0.234020773044631,15,3.49509684219432
"NEA","Más rico","Leyó libros",0,1,0.250470116448621
"NOA","Más pobre","Leyó libros",0.065830644768886,340,332.718667858755
"NOA","Segundo","Leyó libros",0.135940353905109,196,190.744546393161
"NOA","Medio","Leyó libros",0.207490909986022,183,184.349375588006
"NOA","Cuarto","Leyó libros",0.254064123543332,115,81.3446472429268
"NOA","Más rico","Leyó libros",0.159452481482664,56,41.9573478743609
"Pampeana","Más pobre","Leyó libros",0.101277508119466,302,660.917720887729
"Pampeana","Segundo","Leyó libros",0.179206921093128,275,465.072149097583
"Pampeana","Medio","Leyó libros",0.158655688258233,294,399.161896780804
"Pampeana","Cuarto","Leyó libros",0.232895946120413,236,272.868288062226
"Pampeana","Más rico","Leyó libros",0.252076925327194,294,261.978902978016
"Patagonia","Más pobre","Leyó libros",0.027079617252662,37,18.0915269595773
"Patagonia","Segundo","Leyó libros",0.0933929090113548,58,31.1174914127922
"Patagonia","Medio","Leyó libros",0.102499758552762,177,77.97698656067
"Patagonia","Cuarto","Leyó libros",0.118262235439467,265,107.053012625576
"Patagonia","Más rico","Leyó libros",0.235522497966015,176,62.9440919862088
"AMBA","Más pobre","Contó cuentos",0.128248507816433,188,453.154637705402
"AMBA","Segundo","Contó cuentos",0.101978011563386,233,609.693016267863
"AMBA","Medio","Contó cuentos",0.188876276189309,156,300.026205495926
"AMBA","Cuarto","Contó cuentos",0.233768104360537,159,224.576736170186
"AMBA","Más rico","Contó cuentos",0.286123188350149,210,319.652337025592
"Cuyo","Más pobre","Contó cuentos",0.066157771187112,159,84.9774235846898
"Cuyo","Segundo","Contó cuentos",0.171343580521578,187,93.3976431939389
"Cuyo","Medio","Contó cuentos",0.127007520759704,258,112.572624788041
"Cuyo","Cuarto","Contó cuentos",0.216826220717366,218,86.8581329022464
"Cuyo","Más rico","Contó cuentos",0.2564141096305,209,72.5058690416913
"NEA","Más pobre","Contó cuentos",0.112839159101503,662,386.626843039464
"NEA","Segundo","Contó cuentos",0.138894192402309,327,156.665508326279
"NEA","Medio","Contó cuentos",0.255734657251876,171,64.250803191633
"NEA","Cuarto","Contó cuentos",0.273663936292753,15,3.49509684219432
"NEA","Más rico","Contó cuentos",0,1,0.250470116448621
"NOA","Más pobre","Contó cuentos",0.0579356878172152,340,332.718667858755
"NOA","Segundo","Contó cuentos",0.137082633150154,196,190.744546393161
"NOA","Medio","Contó cuentos",0.171090549264031,183,184.349375588006
"NOA","Cuarto","Contó cuentos",0.200348504907844,115,81.3446472429268
"NOA","Más rico","Contó cuentos",0.144996885821041,56,41.9573478743609
"Pampeana","Más pobre","Contó cuentos",0.100392413560836,302,660.917720887729
"Pampeana","Segundo","Contó cuentos",0.139742979778165,275,465.072149097583
"Pampeana","Medio","Contó cuentos",0.13366353662792,294,399.161896780804
"Pampeana","Cuarto","Contó cuentos",0.191776623109642,236,272.868288062226
"Pampeana","Más rico","Contó cuentos",0.210478266609595,294,261.978902978016
"Patagonia","Más pobre","Contó cuentos",0.0699394334619146,37,18.0915269595773
"Patagonia","Segundo","Contó cuentos",0.0850126489725639,58,31.1174914127922
"Patagonia","Medio","Contó cuentos",0.103467317956498,177,77.97698656067
"Patagonia","Cuarto","Contó cuentos",0.0924971538010553,265,107.053012625576
"Patagonia","Más rico","Contó cuentos",0.227820984033057,176,62.9440919862088
"AMBA","Más pobre","Cantó canciones",0.169329360876446,188,453.154637705402
"AMBA","Segundo","Cantó canciones",0.0646227321896769,233,609.693016267863
"AMBA","Medio","Cantó canciones",0.136306693099699,156,300.026205495926
"AMBA","Cuarto","Cantó canciones",0.202536327247194,159,224.576736170186
"AMBA","Más rico","Cantó canciones",0.248634700393367,210,319.652337025592
"Cuyo","Más pobre","Cantó canciones",0.129305581810641,159,84.9774235846898
"Cuyo","Segundo","Cantó canciones",0.225692763415458,187,93.3976431939389
"Cuyo","Medio","Cantó canciones",0.184996298917481,258,112.572624788041
"Cuyo","Cuarto","Cantó canciones",0.260835916774909,218,86.8581329022464
"Cuyo","Más rico","Cantó canciones",0.268090436495944,209,72.5058690416913
"NEA","Más pobre","Cantó canciones",0.142738357879931,662,386.626843039464
"NEA","Segundo","Cantó canciones",0.142276443304505,327,156.665508326279
"NEA","Medio","Cantó canciones",0.246720855810795,171,64.250803191633
"NEA","Cuarto","Cantó canciones",0.136927862487978,15,3.49509684219432
"NEA","Más rico","Cantó canciones",0,1,0.250470116448621
"NOA","Más pobre","Cantó canciones",0.132142308863386,340,332.718667858755
"NOA","Segundo","Cantó canciones",0.157614443609759,196,190.744546393161
"NOA","Medio","Cantó canciones",0.199567362563646,183,184.349375588006
"NOA","Cuarto","Cantó canciones",0.304293168772687,115,81.3446472429268
"NOA","Más rico","Cantó canciones",0.182631006936526,56,41.9573478743609
"Pampeana","Más pobre","Cantó canciones",0.122603510420467,302,660.917720887729
"Pampeana","Segundo","Cantó canciones",0.189468496491749,275,465.072149097583
"Pampeana","Medio","Cantó canciones",0.205204480497891,294,399.161896780804
"Pampeana","Cuarto","Cantó canciones",0.196616467713878,236,272.868288062226
"Pampeana","Más rico","Cantó canciones",0.235161122709673,294,261.978902978016
"Patagonia","Más pobre","Cantó canciones",0.0228889327271826,37,18.0915269595773
"Patagonia","Segundo","Cantó canciones",0.131862583508067,58,31.1174914127922
"Patagonia","Medio","Cantó canciones",0.133361817093579,177,77.97698656067
"Patagonia","Cuarto","Cantó canciones",0.14993939511373,265,107.053012625576
"Patagonia","Más rico","Cantó canciones",0.189712380440863,176,62.9440919862088
"AMBA","Más pobre","Llevó fuera",0.31154623634761,188,453.154637705402
"AMBA","Segundo","Llevó fuera",0.257383061275008,233,609.693016267863
"AMBA","Medio","Llevó fuera",0.256486840160935,156,300.026205495926
"AMBA","Cuarto","Llevó fuera",0.421414718497436,159,224.576736170186
"AMBA","Más rico","Llevó fuera",0.447681181563725,210,319.652337025592
"Cuyo","Más pobre","Llevó fuera",0.209861134281831,159,84.9774235846898
"Cuyo","Segundo","Llevó fuera",0.339543146263245,187,93.3976431939389
"Cuyo","Medio","Llevó fuera",0.276258795002889,258,112.572624788041
"Cuyo","Cuarto","Llevó fuera",0.431772901026972,218,86.8581329022464
"Cuyo","Más rico","Llevó fuera",0.386979850198063,209,72.5058690416913
"NEA","Más pobre","Llevó fuera",0.234302579120873,662,386.626843039464
"NEA","Segundo","Llevó fuera",0.285911976660939,327,156.665508326279
"NEA","Medio","Llevó fuera",0.446060820239226,171,64.250803191633
"NEA","Cuarto","Llevó fuera",0.396254206416662,15,3.49509684219432
"NEA","Más rico","Llevó fuera",0,1,0.250470116448621
"NOA","Más pobre","Llevó fuera",0.261326118632355,340,332.718667858755
"NOA","Segundo","Llevó fuera",0.255791549174926,196,190.744546393161
"NOA","Medio","Llevó fuera",0.367110505384645,183,184.349375588006
"NOA","Cuarto","Llevó fuera",0.354001137679367,115,81.3446472429268
"NOA","Más rico","Llevó fuera",0.327578939020189,56,41.9573478743609
"Pampeana","Más pobre","Llevó fuera",0.234193052196555,302,660.917720887729
"Pampeana","Segundo","Llevó fuera",0.264486993048161,275,465.072149097583
"Pampeana","Medio","Llevó fuera",0.355497698927856,294,399.161896780804
"Pampeana","Cuarto","Llevó fuera",0.38010893969168,236,272.868288062226
"Pampeana","Más rico","Llevó fuera",0.422532805798768,294,261.978902978016
"Patagonia","Más pobre","Llevó fuera",0.0512651478232865,37,18.0915269595773
"Patagonia","Segundo","Llevó fuera",0.294500951447978,58,31.1174914127922
"Patagonia","Medio","Llevó fuera",0.310603462395835,177,77.97698656067
"Patagonia","Cuarto","Llevó fuera",0.293375439791321,265,107.053012625576
"Patagonia","Más rico","Llevó fuera",0.39493164304597,176,62.9440919862088
"AMBA","Más pobre","Jugó",0.244336052353871,188,453.154637705402
"AMBA","Segundo","Jugó",0.200607260152504,233,609.693016267863
"AMBA","Medio","Jugó",0.260113127101915,156,300.026205495926
"AMBA","Cuarto","Jugó",0.437741249187683,159,224.576736170186
"AMBA","Más rico","Jugó",0.355100014770612,210,319.652337025592
"Cuyo","Más pobre","Jugó",0.240313856090681,159,84.9774235846898
"Cuyo","Segundo","Jugó",0.360422896235527,187,93.3976431939389
"Cuyo","Medio","Jugó",0.298112509778582,258,112.572624788041
"Cuyo","Cuarto","Jugó",0.493752718957043,218,86.8581329022464
"Cuyo","Más rico","Jugó",0.388530412788999,209,72.5058690416913
"NEA","Más pobre","Jugó",0.223705893956214,662,386.626843039464
"NEA","Segundo","Jugó",0.325473920605609,327,156.665508326279
"NEA","Medio","Jugó",0.415352159550489,171,64.250803191633
"NEA","Cuarto","Jugó",0.331113683601285,15,3.49509684219432
"NEA","Más rico","Jugó",0,1,0.250470116448621
"NOA","Más pobre","Jugó",0.174186887780212,340,332.718667858755
"NOA","Segundo","Jugó",0.266656989125771,196,190.744546393161
"NOA","Medio","Jugó",0.299509245749352,183,184.349375588006
"NOA","Cuarto","Jugó",0.299082327611917,115,81.3446472429268
"NOA","Más rico","Jugó",0.210840670619754,56,41.9573478743609
"Pampeana","Más pobre","Jugó",0.216864529878428,302,660.917720887729
"Pampeana","Segundo","Jugó",0.259226044842211,275,465.072149097583
"Pampeana","Medio","Jugó",0.344478540235975,294,399.161896780804
"Pampeana","Cuarto","Jugó",0.380818579545339,236,272.868288062226
